,Type_appart,Surface m²,Price €,Localisation,Date Post,Description
41,meublee appartement ,71m,1964,Paris ,/  06 septembre 2019,"Meublé 3 pièces + dressing de 71 m² au 29ème étage.
Très lumineux, vue imprenable sur Est parisien, sans aucun vis-à-vis.
Grand séjour + cuisine américaine de 33 m², espace nuit parfaitement isolé de l'espace jour, cuisine récente entièrement équipée (induction, lave-vaisselle, réfrigérateur - congélateur, four pyrolyse), 2 chambres, salle d'eau avec lave-linge.
Baies vitrées (double vitrage sur aluminium) sur toute la largeur des 3 pièces.
Pièce supplémentaire de 6 m² pouvant servir de bureau ou de dressing, nombreux rangements.
Cave et parking.
Immeuble de standing sous vidéo surveillance + gardien 24/7.
Tous commerces à proximité, hyper marché à 7 mn à pied. Centre commercial Italie 2 à 10 mn. Métro Olympiades (ligne 14) à 5 mn et tramway à 10 mn.
Maternelle, primaire et collège à moins de 150 m, sans rue à traverser.
Square et grand parc à 5 mn.
Loyer : 1964 € charges comprises (chauffage, eau chaude et froide inclus), sauf EDF (environ 35 Euros par mois)."
42,meublee studio ,17m,820,Paris 15E,/  06 septembre 2019,"Bir Hakeim - Duplex - Charles Michels. Tour de standing, vue imprenable sur la tour Eiffel, ascenseur, digicode, gardien 24h/24, interphone et vidéosurveillance.
Beau studio de 17 m² environ, refait à neuf, meubles neufs, très calme et ensoleillé, au 6e étage sans vis-à-vis et vue directe sur la Tour Eiffel. Grande baie vitrée : entrée/placards, pièce principale parquetée, canapé convertible, téléviseur, coin cuisine avec four, micro-ondes et lave-linge, salle de bains avec sèche-serviettes et rangements.

Proximité centre commercial Beaugrenelle et transports (métros ligne 6 et 10, RER C, bus).

Loyer provision et charges comprises.
Sérieuses références demandées.

Disponible le 30 septembre."
43,appartement ,63m,2150,Paris 16E,/  06 septembre 2019,"Rue Poussin, 75016.
Deux pièces de 63m2 dont grand séjour (28m2) avec deux fenêtres sur balcon plein sud. 5ème étage très ensoleillé, avec ascenseur. Chambre (16m2) + dressing calme sur cours. Salle de bains, toilettes incluses. Cuisine équipée. Chauffage au gaz.
Logement libre (non meublé), disponible à partir du Lundi 16 septembre 2019.
Pour célibataire ou couple, éventuellement avec jeune enfant.
Revenus totaux locataires exigé : environ 6000€ net/mois.
Visites dès maintenant."
44,meublee chambre ,10m,599,Paris 17E,/  06 septembre 2019,"Dans quartier calme et agréable de la Plaine Monceau dans le 17e arrondissement de Paris.
A proximité des Champs-Élysées, de l'Opéra et de la gare Saint-Lazare.

Loue, pour personne seule, chambre meublée mansardée avec lavabo (douche et wc sur palier) au 4 ème étage sans ascenseur.
Connexion wifi.
Draps fournis.

Prix toutes charges comprises pour un mois : 599€.
Location possible à la journée : 39€ par nuit.
Nombreux transports en commun à proximité : 3 stations de Métro : Wagram, Villiers et Malesherbes (lignes 2 et 3).
RER : Pereire (RER C).
Transilien : Pont Cardinet (ligne L).
Bus : 94, 31, 20, 528, 163.
Proche du marché de la rue Lévis et de tous types de commerces et services : supermarchés, cafés, restaurants, banques, laveries, pressings, postes, pharmacies…
Merci d'appeler avant 20h.

Loyer : 599 €/mois charges comprises."
45,meublee studio ,10m,650,Paris 19E,/  06 septembre 2019,"Sur l'Avenue Secrétan, dans un quartier recherché animé et commerçant avec de nombreux choix de petits commerces de bouches, primeurs fruits et légumes, Monoprix, 5 Fermes, entre le triangle du MK2 Quai de Loire/Quai de Seine du Canal de l'Ourq, Place de la Halle Secrétan et le Parc des Buttes Chaumont :

Au 7ème étage d'un immeuble haussmannien, un Studio par accès principal, ascenseur jusqu'au 6ème, venant d'être rénové, avec 1 grande fenêtre vue dégagée sans vis-à-vis sur cour au calme.
Meublé canapé lit 2 places, kitchenette avec plaque vitrocéramique et micro-ondes neufs, réfrigérateur, douche, placards, plusieurs rangements, vaisselle. wc sur palier à usage Privatif avec clé.

Prise Téléphone, Opérateur internet à choisir à vos frais. Idéal pour pied à terre, contrat mobilité.
Non-Fumeur et pas d'animaux domestiques.

Grande accessibilité des métros (lignes 2,5,7bis), Métro Jaurès et Bolivar, Ligne Bus 26
Loyer 600.00 €+Forfait Charges: 50.00 €.
Dépôt de Garantie 1000 €

Premier contact de présentation uniquement par courriel.
1ères Visites : Dimanche 08 Septembre. Libre de suite.

In best case, We appreciate to have English native language or Fluent English tenant to play and talk 2 hours per week with our 5 & 12 year old children."
46,appartement ,25m,1070,Paris 15E,/  06 septembre 2019,"Montparnasse - 2  pièces comme une maison.
Appartement atypique, sans aucune perte de place, en très bon état, avec beaucoup de cachet et de charme.
L'appartement d'environ 25 m² au sol est composé au 1er niveau d'un séjour avec cuisine us et d'une salle d'eau. Au 2ème niveau d'une chambre. A proximité immédiate des commerces et des transports.

Métro: Pasteur ligne 6
           Montparnasse : ligne 4, ligne 6, ligne 12, ligne 13.

Bus: 95,91,96.

Loyer : 1070 €/mois charges comprises."
47,meublee studio ,17m,650,Paris 18E,/  06 septembre 2019,"Au 2ème sur cour, métro Chateau Rouge studio meublé de 17 m² : coin cuisine équipée, lave-linge et réfrigérateur, plaques électriques, micro-ondes, placards, penderie.
Canapé-lit, étagères, bureau, salle d'eau (douche cabine), wc - lavabo.
Double vitrage avec volets roulants. Clair. Chauffage électrique.

Loyer : 650 €/mois charges comprises."
48,meublee chambre ,9m,510,Paris 10E,/  06 septembre 2019,"Idéale étudiant(e). 6éme étage sans ascenseur
Chambre Meublée, Douche à l'intérieur, micro-ondes, frigo, lit, armoire-penderie, bureau, chaise, lampe bureau, évier-plaque de cuisson, vaisselle.
Toilettes sur le palier.

Loyer : 510 €/mois charges comprises"
49,appartement ,30m,1190,Paris 13E,/  06 septembre 2019,"Boulevard Arago, métro Les Gobelins (ligne 7).

Dans bel immeuble ancien, tapis escalier, interphone, gardienne, verdure plein sud. 2 pièces 30 m² vue dégagée sur parc : entrée, coin-cuisinette équipée, séjour + chambre, parquet, wc séparés, salle d'eau avec douche, 3 fenêtres sur jardin, 4ème étage sans ascenseur, tapis escalier, gardienne, calme, ensoleillé.

Cave. Idéal pour une seule personne.

Refait à neuf.

Proche commerces, transports, facultés.

Téléphoner pour renseignement et visites.

Loyer: 1150 € + charges 40 €.
Loyer : 1190 € charges comprises"
50,appartement ,57m,1520,Paris 16E,/  06 septembre 2019,"Appartement 2 pièces de 57 m², quartier Exelmans, 5e étage avec ascenseur, à 2 mn à pied du métro Exelmans.
Immeuble sécurisé, digicodes et gardien, avec jardin donnant sur rue calme.
2 pièces comprenant une entrée, un séjour/salle à manger, une chambre avec dressing, une cuisine entièrement équipée (four, plaques vitro, lave-vaisselle, meubles de rangement et plan de travail), une salle de bains avec baignoire, et wc séparés.

Parquet au sol, cave, eau et chauffage collectif inclus dans les charges.

Proche commerces, transports et écoles.

Disponible immédiatement.
Caution solidaire susceptible d'être demandée.
Loyer : 1.520 €/mois + 150 € charges.
Loyer : 1520 € + charges 150 €"
51,meublee appartement ,52m,1550,Paris 16E,/  06 septembre 2019,"Appartement de 52 m² meublé, Auteuil/Exelmans.

Appartement très lumineux, au 3ème étage sans vis à vis.
Il est composé d'une chambre, un double living, cuisine séparée, salle de bains (baignoire) et toilettes. Wifi, Tv. Balcon.
Idéal pour un couple.

Le quartier est très commerçant, avec des marchés à proximité pratiquement tous les jours. Métros Exelmans et Michel Ange Molitor à 3 min.

Disponible immédiatement jusque fin février.
Loyer charges comprises."
52,meublee studio ,25m,1100,Paris 14E,/  06 septembre 2019,"Location meublée sur jardin, 25 m² environ, quartier Vavin-Montparnasse.
Appartement 1/2 pièces (portes coulissantes). Coin cuisine équipée, salle de bains, wc séparés. Télévision box + internet fibre optique. Machine à laver, frigidaire, congélateur.

Bail étudiant(e).

Loyer charges comprises."
53,meublee studio ,26m,840,Paris 11E,/  06 septembre 2019,"Studio meublé 26 m² (séjour avec baie vitrée à volets électriques + salle de bains avec baignoire et cuisine équipée séparée), au 1er étage dans passage calme.
Proximité commerces et métros (Belleville/Goncourt/République).

Disponible le 1er octobre 2019 pour location longue durée.
Loyer : 840 €/mois + charges 150 €."
54,meublee appartement ,80m,2400,Paris 17E,/  06 septembre 2019,"Appartement de 80m² dans le square des musiciens à Paris 17ème.
Métro Villiers juste à côté du marché Levis.

Il est résolument moderne, je suis architecte et je l'ai refait entièrement.
L'appartement est situé au 5ème étage droite .
 Il compte deux chambres dont une grande suite parentale avec dressing.
Une chambre d'enfant avec une mezzanine pour un jeune pas d'adulte étant donné la taille du lit.
Le sol est en parquet avec de grandes baies vitrées tout du long. Le chauffage est central.

La pièce à vivre est constituée d'un grand salon séjour salle à manger cuisine de 40m² avec la  cuisine ouverte séparée par un bar haut.

Douche à l'italienne Et grande baignoire, petite buanderie séparée. Wc séparés. Entrée. Ascenseur.
Digicode et un Interphone.
Il y a une gardienne à temps plein sur place.

C'est une « Location meublée » car je l'ai aménagé sur mesure , les rangements, les lits, la mezzanine, la cuisine , les diverses tablettes en bois , sont non amovibles.
En revanche je recherche à louer pour une longue durée uniquement .
Les colocations ne sont pas envisageable de par la configuration des lieux ce n'est pas adaptée.

Le Quartier est animé aux alentours, avec son quartier piétonnier,de la rue Levis , mais l'environnement proche lui est très très calme ;  dans les squares.
 Il y a tous les commerces et les écoles très proches.

Loyer 2400 €/mois charges eau chaude et chauffage  comprises. ( possibilité pour l'electricité , la WIFI  &  TV inclus  en plus   )"
55,meublee appartement ,46m,1980,Paris 17E,/  06 septembre 2019,"Rue de Saussure. Métro Villiers et Pont Cardinet.
Au 3e étage, sur cour. 2 pièces, 46m2.
Meublé. Parquet. Fibre. Gardienne. Double vitrage.
Entièrement refait à neuf.

Cuisine : four, micro-ondes, frigidaire-congélateur, plaques à induction, lave-linge séchant, lave-vaisselle.

Grande pièce à vivre, lumineuse, table à rallonge (6 couverts), TV. Portes à la française.

Grande chambre, avec un espace de dressing indépendant (moquette en laine dans le dressing).

Salle de douche: douche spacieuse, chauffage au sol, fenêtre, nombreux rangements, porte-serviettes séchant.

Soleil tout l'après-midi.

Idéal pied-à-terre.
Loyer : 1.900 €/mois + 80 € charges."
56,meublee studio ,45m,1500,Paris 16E,/  06 septembre 2019,"Disponible immédiatement.

Charmant studio de 45 m², quartier de La Muette/Passy avec salle de bain (baignoire et lave linge séchant) et cuisine entièrement équipée (lave vaisselle, four, micro-ondes, plaque de cuisson et hotte).

Rangements : Double dressing à l'entrée, armoire salon et sommier coffre.

Au 4eme étage d'un immeuble de standing avec gardiens et ascenseurs, chauffage central, proche des commerces et transports.

Loyer : 1350 €/mois + charges 140 €."
57,meublee studio ,16m,700,Paris 16E,/  06 septembre 2019,"Près Exelmans. Studio meublé totalement rénové et équipé, 16 m², au 1er sur cour sans vis-à-vis. Digicode, porte blindée.
Entrée, salle de bains avec baignoire sabot/douche, lavabo et wc, coin-cuisine équipé, pièce principale, nombreux rangements. Téléphone, internet, télévision compris.

Idéal célibataire. 1 an min. Loyer charges comprises (hors EDF). Cautions solidaires demandées.
Dossier complet demandé lors de la visite.
(Agences s'abstenir)."
58,meublee appartement ,33m,1590,Paris 5E,/  06 septembre 2019,"Quartier Latin / Les Gobelins  - 33m2.

Magnifique appartement au 5ème étage baigné de lumière avec vue sur le ciel. Cet appartement de 2 pièces de 33m2 loi Carrez aux prestations très haut de gamme a été entièrement repensé et refait à neuf par une architecte d'intérieur. Sur une rue très peu passante, le calme de l'appartement est absolu.

- Calme absolu
- 2 très grandes fenêtres et traversant qui laisse le ciel et le soleil rentré (exposition pleine Est) - Très lumineux
- Cuisine refaite à neuf, toute équipée - four, lave vaisselle, lave linge, frigo
- De très nombreux rangements à travers tout l'appartement dont une grande penderie dans la chambre
- Grande hauteur de plafond - 2.65m
- Aménagement haut de gamme refait à neuf par une architecte d'intérieur. Zéro perte de place.

Il se compose de :
une petite entrée avec un grand placard
un salon avec canapé convertible, table à manger et écran plat
une chambre avec nombreux rangement sur mesure et lit double, applique murale
une salle de bains avec douche à l'italienne, vasque, toilettes et lave-linge.

L'appartement est loué tout équipé et meublé avec des produits récents (achetés en Août). Vous n'avez qu'à poser vos bagages
- Grand Écran plat 110 cm, penderie, canapé, table basse, table de repas, applique, luminaire, lit double
- Cuisine moderne et tout équipé : lave-vaisselle, frigidaire, four/micro-ondes, vaisselle etc…
- Salle de bains tout confort : grande douche carrelée sur mesure, vasque, toilettes, lave-linge
- Sol plan avec parquet, plat et parfaitement isolant acoustiquement.
- Fenêtres, chauffage électrique, digicode.

Situation géographique idéale :
- Plein 5eme arrondissement entre Place Monge et les Gobelins
- 1 min à pied de la station les Gobelins - Ligne 7
- 5 min du Jardin des Plantes
- 7 min à pied de la rue Mouffetard.
À proximité de commerces et écoles (boucherie, boulangerie, Monoprix en bas).

Loyer : 1590 €/mois charges comprises."
59,meublee studio ,30m,1200,Paris 13E,/  06 septembre 2019,"Près rue mouffetard, au fond d'un grand jardin fruitier, dans petit immeuble de 2 étages, magnifique studio meublé, équipé, 30 m² avec grande mezzanine, poutres anciennes apparentes.
Jardin partagé, chaque appartement utilise une partie.

Cuisine marbre équipée, lave-linge, machine à café, four micro-ondes, vaisselle et couverts, salle de bain marbre, baignoire, serviettes de bains, lit double king-size avec linge, table, 5 chaises, bureau, petites tables, canapé confortable, TV internet contrat orange compris dans le loyer.

Atmosphère conviviale dans toute la maison.

Loyer : 1.200 €/mois charges comprises (sauf électricité et gaz).

Libre de suite

Possibilité courte durée."
60,meublee appartement ,40m,1400,Paris 14E,/  06 septembre 2019,"Emplacement exceptionnel à 30 mètres de la rue Daguerre et 10 minutes à pied de Montparnasse, proche de toute commodités (métro, RER, bus et commerces). Au 3e étage sur cour, calme, lumineux.

Comprenant une cuisine équipée avec four, gazinière,  lave-vaisselle, réfrigérateur, congélateur, ustensiles et vaisselle de cuisine. Séjour : canapé, table basse, table dînatoire, meuble TV. Salle d'eau : Douche, wc, lave-linge. Solide garanties demandées. Location disponible uniquement pour une année."
61,meublee studio ,34m,1250,Paris 15E,/  06 septembre 2019,"Studio de 34 m² avec pièce à vivre de 23 m². Très lumineux. Cuisine séparée, dinatoire et totalement équipée (frigo, plaques vitro, four, lave-vaisselle). Salle de bains avec lave-linge. Grand placard dans l'entrée. Grand balcon donnant sur jardin avec vue dégagée. Accès par l'immeuble à un club de sport privé ' Le Club 15 ' et réservé aux résidents. Gardien et Parking. Grande cave.
Chauffage collectif.

Disponible de suite.

Stations de métro: Volontaires, Plaisance, Vaugirard, Pasteur, Convention.
Lignes de bus: 62, 88, 89 et 95.

Loyer : 1.170 € /mois + 80 € de charges."
62,meublee appartement ,74m,2370,Paris ,/  06 septembre 2019,"Bail meublé code civil (société ou hab.secondaire) exclusivement. Durée ferme mini 6 mois, 1 an souhaité.

(Triangle Vendôme / Opéra /Louvre). T3, 74 m²- , 3ème- Séjour, 2 chambres spacieuses, kitchen. équipée, bains marbre +sanitaires  qualité + wc + autre wc séparés, nombreux vitraux, meubles style parisien.
(Abonnements Électricité,/gaz)
(internet /cable non compris)

Conditions contractuelles à charge du preneur :
 - Taxes d'habitation  (2.535€) et d'ordure ménagère (320€)
- Entretien . annuel  chaud. gaz (130€)
- Restitution linge maison après nettoyage par professionnel
- Ménage final de sortie soigné requis (vitres, lustres, volets inclus).

Libre au 8 avril 2019
2 mois de garantie
Garantie bancaire ou paiement d'avance totalité loyers + 2 mois DG

Paris (first arrondissement) nearby Vendôme - Opéra - Tuileries - 3 room fully furbished apartement (Parisian-style furniture and decoration) - - Classic 1830 building - 3d-  - 3  points lock gateway - 74 sq.m (800 sq/ ft)- 1 living/dining room - 2 large bedrooms - (2 hight wind/room) -equipped kitchen - big bathroom marble with classic clawfoot tub and toilet - separate W.C.- marble fireplaces - moldings - stained glasses windows in livingroom, bathroom and kitchen -
(Electricity, gaz, d'habitation tax and taxes of household waste non included)
Annual maintenance of the gaz boiler required.
Final house linen cleaning out and ironing in laundry required for bed sheets,pillow cases and toilet towels -
Final soigné output household also required (chandeliers, windows and shutters included)
Available april 8th2019
Loyer : 2370 € charges comprises"
63,meublee studio ,25m,1100,Paris 7E,/  06 septembre 2019,"Proche Louvres.
Rue Verneuil. Studio meublé de 25 m² plein sud au 3e étage.
Cuisine américaine.
Grande salle de bains avec wc.

Loyer 1100€/mois charges comprises.

01.47.70.25.97"
64,meublee studio ,25m,1350,Paris 15E,/  06 septembre 2019,"
					METRO DUPLEIX - STUDIO SUR JARDIN PRIVE TERRASSE				"
65,meublee appartement ,43m,1435,Paris 16E,/  06 septembre 2019,"Paris 16ème. Beau 2 pièces meublé, 43 m². Avenue Paul Doumer. 5 mn à pied Trocadéro, Passy, La Muette. Immeuble de grand standing. Refait neuf.

Cuisine dînatoire moderne entièrement équipée (lave-linge, four, micro-ondes, plaques induction), grand séjour avec parquet acajou, canapé et rangements, chambre avec grands placards, salle de douche.

Immeuble de très grand standing avec gardien, digicode.

Calme, double vitrage. Hauteur sous plafond de 3.8 m. Disponibilité immédiate.

Rez-de-chaussée. Idéal pour musicien.

Charges comprises (chauffage et eau chaude collectifs).

Visites les mardis et jeudis de 8h30 à 11h pour personnes sérieuses accompagnées d'un dossier de location. Appellez Mme Carreira.
Agences s'abstenir."
66,meublee appartement ,46m,1390,Paris 15E,/  06 septembre 2019,"Bel appartement proche métro Convention très clair, construction 1980, au 1er étage sans vis-à-vis,  1 séjour donnant sur balcon, 1 cuisine équipée, 1 chambre, 1 autre coin couchage.
disponible vers le 20 septembre."
67,meublee studio ,9m,550,Paris 18E,/  06 septembre 2019,"A 50 m du métro Jules Joffrin.

Comprenant une douche, une cuisinette et une grande penderie.
Le coin nuit vient d'être rénovée, elle est au 7e étage sans ascenseur.

Pièce petite mais très lumineuse, quelques poutres apparentes en sous pente, grande fenêtre de toit style Vélux neuf avec belle vue sur très dégagée sur le nord-ouest de la région parisienne et les toits de Paris.

Dossier complet demandé lors de la visite. Garant et 1 mois de caution.
Disponible immédiatement.
Loyer charges comprises."
68,meublee studio ,16m,715,Paris 8E,/  06 septembre 2019,"Rue de Saint-Pétersbourg, proche métro Place de Clichy.

Beau studio de 16 m² (loi Carrez), 21 m² au sol, au 6ème étage sans ascenseur, dans bel immeuble, digicode.
Meublé, clair, calme, beaucoup de rangements.
Salle d'eau (douche, lavabo - wc).

Libre le 3 octobre.

Loyer 700 €/mois + 15 € de charges mensuelles.

Sur place samedi 14 septembre de 10h à 12h. Prendre rendez-vous par courriel."
69,meublee studio ,26m,1280,Paris 5E,/  06 septembre 2019,"Panthéon, Près Mouffetard et lycée Henri IV.

Petit 2 pièces (façon studio)  26 m², au 3e étage sans ascenseur.
Meublé, très équipé pour pied-à-terre, cadre en mission...
Exposition sud, double-vitrage, soleil.

Sectorisation lycée Henri IV (à 100 m) Vue dégagée.

Une pièce unique pour salon ou chambre, une pièce pour cuisine et coin repas. Une salle de bains avec wc. Entièrement équipé : mobilier, linge avec rechange, vaisselle, télévision, dvd, bureau, wifi.
Au 3e sans ascenseur.

Libre le 30 décembre 2019.
Loyer 1.280 €/mois totalité charges et TV TNT inclus (électricité et téléphone restent à charge locataire).

Idéal personne seule, cadre en mission, étudiant (colocation impossible, un seul couchage double en clic-clac Bultex).  Bail résidence non principale : location meublée soumise au droit civil, bail société pour personnel en stage ou mission, bail étudiant 9 mois, bail mobilité. Sérieuses garanties demandées."
70,meublee studio ,22m,990,Paris 16E,/  06 septembre 2019,"Immeuble de standing au milieu de la rue de Passy, au calme. Studio meublé avec balcon donnant sur jardin intérieur.  Au 1er étage, 2 ascenseurs. Sol  parquet, 22 m²,  pièce principale meublée, entrée avec 2 grands placards, cuisine américaine équipée (plaque halogène, réfrigérateur, micro-ondes avec grill, placards), salle d'eau (meuble vasque, douche et wc). Gardienne, interphone, digicode. Situé entre les métros Passy (ligne 6) et La Muette (ligne 9) RER C Boulainvilliers, bus 32,22 52  Proche de la rue piétonne commerçante de l'Annonciation,  à côté de la galerie commerciale Passy-Plazza, cinéma rue de Passy avec 3 salles d'exclusivité  Nombreux commerces 2 Monoprix, Franprix, Boulanger, restaurants, traiteurs, écoles supérieures
Loyer  920€/mois + 70 € charges forfaitaires chauffage central compris."
71,meublee studio ,18m,695,Paris 18E,/  06 septembre 2019,"Dans quartier calme, proche commerces, écoles et toutes commodités.
Studio meublé de18 m², calme et lumineux au 3ème et dernier étage.
Pièce principale avec coin nuit, cuisine individuelle, douche et wc séparés.
Très bon état.
Loyer : 695 €/mois charges comprises."
72,meublee studio ,20m,960,Paris 6E,/  06 septembre 2019,"St-Sulpice, 18 rue des Canettes. Dans bel immeuble 18ème siècle, studio meublé avec mezzanine fixe, 20 m² environ, calme (entièrement sur cour), clair, état neuf au 6ème étage sans ascenseur.
Loyer 960 € /mois charges comprises."
73,meublee studio ,17m,790,Paris 6E,/  06 septembre 2019,"St Germain des prés, 18 rue des Canettes, dans bel immeuble 18ème siècle , studio meublé ,17m2 env. , clair, mezzanine fixe faisant office de coin chambre ,  fenêtre double vitrage phonique , au 6ème étage sans ascenseur 790 euros charges comprises .

Loyer : 790 €/mois charges comprises"
74,meublee appartement ,27m,915,Paris 14E,/  06 septembre 2019,"Beau T2 d'environ 28 m² dans un immeuble ancien sécurisé par digicode et interphone nominatif. Proche des métros Pernety, Gaîté, Denfert-Rochereau, à dix minutes à pied de la gare Montparnasse.

Cet appartement meublé de 2 pièces est situé au rez-de-chaussée d'une copropriété calme de cinq étages, avec deux grandes fenêtres dans les pièces principales.

Ce T2 en parfait état est agréable de par sa disposition des pièces sans perte de place avec de nombreux rangements intégrés, ainsi qu'une hauteur sous plafond de 2,90m.

Il se compose d'une cuisine récente équipée (réfrigérateur/four micro-ondes encastrés, évier, 4 plaques de cuisson, table à manger, chaises hautes) ouverte sur séjour avec canapé convertible (couchage 2 personnes, écran plat), d'une chambre au calme avec un lit deux personnes (190x140) et d'une salle d'eau (douche, lavabo, wc, lave-linge) avec fenêtre.
Un espace bureau peut être envisagé dans la chambre.

Idéalement situé au sud-est de la tour Montparnasse à proximité de la rue Daguerre, le quartier dispose de nombreux commerces et restaurants aux alentours.

Cet appartement donne sur une rue calme à sens unique.

Loyer : 845 €/mois + 70 € provision charges. Références sérieuses exigées."
75,meublee studio ,33m,1275,Paris 5E,/  06 septembre 2019,"Studio meublé 33 m², proche Panthéon et  Mouffetard, belle vue sur Panthéon, lumineux, TV, tel/internet, entrée, salle de bains, cuisine, chambre 6ème ascenseur, concierge.

1.275€/mois toutes charges comprises,

5th, furnished studio 33m², Panthéon près Mouffetard, view 180°, very bright, tel/net, tv, baths, kitchen, 6th floor, lift, concierge. 1275 €/m all included. location long terme
Loyer : 1275 € charges comprises."
76,appartement ,45m,1200,Paris 10E,/  06 septembre 2019,"18 rue Bichat. Près Canal Saint Martin. Hopital St Louis, bel immeuble, ascenseur, digicode, gardienne.

Beau 2 pièces, 45 m² refait à neuf, entrée, salle de bains, cuisine, parquet. Balcon vue sur beau jardin. Possibilité parking privé.
Possibilité meublé et colocation.

Loyer : 1200 €/mois + charges 200 €"
77,meublee appartement ,46m,1900,Paris ,/  06 septembre 2019,"Bastille, près Place, Opéra.
Dans rue calme, 2 pièces, de 46 m² (dont double-séjour 34 m²), meublé, très équipé (linge complet de lit, de toilette et de table, avec rechanges prévus, vaisselle, électroménager récent complet (lave-linge séchant, lave-vaisselle, congélateur, TV LED 108 cm 4KUHD, lecteur DVD, chaîne hi-fi, aspirateur, fer et table à repasser, sèche-cheveux, 2 cafetières dont une à capsules, toaster, bouilloire, four mobile halogène, four combiné micro-ondes...).

Une seule chambre équipée grand dressing et  couchage 2 personnes, literie haut de gamme. Double-séjour 34 m²  avec 2 canapés dont 1 convertible 160 x 200, mobilier complet design et industriel, espace repas, cuisine américaine entièrement équipée. salle de bains avec w-c. Poutres, soleil. Idéal stage, mutation, personnel société.

Uniquement bail soumis à droit civil (résidence non principale) ou bail mobilité (de 1 à 10 mois), ou bail étudiant 9 mois.
Colocation possible.  Au 3e étage sans ascenseur. Double digicode, cour arborée, gardien. 1.900 €/mois toutes charges comprises,  wifi inclus (hors EDF et Tél).
Sérieuses garanties demandées.
Contact par e-mail privilégié (en indiquant également un numéro de tel)..

Loyer : 1900 € /mois charges comprises."
78,meublee studio ,22m,1097,Paris 15E,/  06 septembre 2019,"Rue Brancion. Studio meublé 22 m², récemment rénové, équipé et décoré, parfait état au 3ème étage sans ascenseur, vue ouest sur parc arboré. Clair. Toutes fenêtres double vitrage. Hauteur sous plafond 2.60m.

Dans pièce principale : clic-clac 140 x 200 (avec alèse, couette, oreiller), télévision écran plat et lecteur DVD, plan-bureau amovible 140 x 50 cm, 2 tabourets hauts et plan repas, sol en parquet.
Cuisine américaine : réfrigérateur, micro-ondes, plaque de cuisson vitrocéramique 2 feux, four électrique, lave-linge séchant, matériel de cuisine et service de table.  Fenêtre oscillo-battante.
Salle d'eau : lavabo, douche, wc, avec fenêtre et ballon électrique.
Entrée : Porte blindée serrure 5 points, grande armoire à glaces et 2 placards (contenant notamment aspirateur, bouilloire, cafetière électrique, fer et table à repasser, étendoir à linge, escabeau... ).
Divers : Chauffage et eau-chaude électriques. Fibre installée dans l'appartement (reste au locataire à prendre abonnement s'il le souhaite). Digicodes. Parties communes refaites en 2014. L'immeuble, situé en 2ème cour ne donne pas sur la rue mais sur le parc.
A côté de l'immeuble : Tramway station Brancion, métro Porte de Vanves, bus et commerces.
Loisirs très proches : Stade Ch. Rigoulot, Parc Georges Brassens, Theatre Le Monfort ...

Loyer : 1097 €/mois charges forfaitaires 100 euros incluses (hors électricité et eau privatives).
Dépôt de garantie : 1990 euros. Studio particulièrement adapté pour expatriés ou étudiants.
NB : possibilité d'assistance ponctuelle pour démarches administratives.

Sérieuses garanties demandées. Pas de colocation."
79,appartement ,34m,1150,Paris 18E,/  06 septembre 2019,"Charmant 3 pièces de 34,44 m² situé au coeur du 18ème arrondissement à 150m du métro Château Rouge.
Cet appartement très calme se trouve en rez-de-chaussée surélevé sur cour.
Il est composé de 2 chambres; 1 salon avec cuisine ouverte (plaque de cuisson, lave-linge et frigidaire); 1 salle de bain avec douche, 1 wc séparés et 2 placards.
Parquet au sol. Chauffage électrique.
Parking vélo sécurisé. Vigik et code à l'entrée de l'immeuble.
Cave.
Ce bien loué avec une assurance ""loyer impayé"" exige un dossier qui devra être impérativement constitué de : 1 pièce d'identité, 3 derniers bulletins de salaire, 3 dernières quittances de loyer, dernier avis d'imposition et attestation de l'employeur.
Tout dossier incomplet ne pourra être examiné et retenu à l'exception d'éventuels garants remplissant les mêmes conditions.
Les visites auront lieu mercredi 28 août 2019 de 17h00 à 19h30 et samedi 31 août 2019 de11h00 à 14h00.
Confirmation de votre présence uniquement par sms.

Loyer : 1150 €/mois charges comprises."
80,meublee appartement ,-1,1360,Paris 18E,/  06 septembre 2019,"Métro Simplon 2 pièces meublés de 46m² au 2eme étage sans ascenseur.
Entrée avec placard, cuisine ,wc séjour et chambre avec salle de bain. Chauffage central individuel au gaz.
Immeuble ancien ravalé.
Collocation a deux accepté. Sérieuses référence demandés.
Loyer 1360€ charges comprises"
81,meublee appartement ,60m,1890,Paris 13E,/  06 septembre 2019,"Métro Place d'Italie ou Gobelins.
2/3 pièces meublé, 60 m². Dans immeuble récent avec ascenseur.
Chauffage central.
Tout confort.
Cuisine équipée, salle de bains, toilettes séparées.
Possibilité parking.
Possibilité Internet.
Lave-linge, télévision.
Colocation et courte durée possible.
1.890E/mois + charges."
82,meublee studio ,33m,1260,Paris 17E,/  06 septembre 2019,"Étoile, Argentine. Studio meublé 33,15 m², bon standing, refait à neuf 2014.
Au 1er sur jardinet avec ascenseur, dans immeuble récent avec gardien, calme, ensoleillé.
Cuisine séparée et équipée, salle de douche/wc avec lave linge. Cave.

Loyer : 1260E charges comprises dont 110 € (chauffage et eau chaude inclus).

Libre 15 aout 2019."
