,Type_appart,Surface m²,Price €,Localisation,Date Post,Description
40,studio ,28m,1.085,Paris 8E,/  13 septembre 2019,"Proche Etoile et Ternes, rue d'Artois. Dans immeuble de standing sécurisé, studio vide de 28 m² avec balcon, au 2e étage avec ascenseurs. Entrée avec grands placards, séjour avec coin cuisine équipée, salle de bains avec wc, parquet. Gardienne, clé vigik. Libre début octobre. 980 €/mois + 105 € provision charges (chauffage et eau chaude inclus). 06.62.14.25.77."
41,meublee appartement ,43m,1.550,Paris 12E,/  13 septembre 2019,"Superbe appartement proche gare de Lyon 2 pièces.
Appartement Refait à neuf! Au coeur de la Gare de Lyon.

Beaux volumes, c'est un très bel appartement meublé (43m2) et lumineux de 2 pièces avec 1 chambre au 1er étage avec ascenseur. La salon est équipé d'un canapé lit.

L'appartement est composé d'une entrée,  d'un séjour avec cuisine équipée, d'une chambre à coucher meublée et d'une salle de bains avec toilettes.
Belles prestations: double vitrage, télévision, lave-linge, Etc.
Eau chaude et chauffage individuels.

Loyer : 1.500 €/mois + 50 € charges."
42,meublee studio ,23m,1.100,Paris ,/  13 septembre 2019,"Studio meublé 23 m², proche du Trocadéro, Très proche du lycée Janson De Saillyavec ascenseur dans un immeuble standing sécurisé (avec gardiennage et digicode) donnant sur un jardin arboré au 2ème étage et sans vis-à-vis.

Entièrement rénové, parquet au sol, canapé-lit, grand placard / dressing, cuisine américaine avec plaques électriques,
micro-ondes et réfrigérateur, salle de douche avec wc. Chauffage par immeuble.

Libre de suite.
Possibilité courte durée.
950 €/mois + 150 € charges (chauffage collectif inclus)."
43,appartement ,60m,1.820,Paris 19E,/  13 septembre 2019,"Très beau 3 pièces 60 m² au coeur de la Mouzaïa (Buttes Chaumont), dans un immeuble années 30.
Entièrement refait à neuf par des architectes.

2 chambres très calmes, grande pièce de vie, cuisine équipée, salle de bain avec baignoire, toilettes séparées. Débarras sur le palier. Nombreux rangements. Très lumineux. Chauffage collectif.
Au 2e étage avec ascenseur.
Parquets d'origine, tomettes, plafonds de 3m20 de haut.
Interphone.
voisinage sympa.
Vue sur la place Danube pavée et ses petits cafés depuis le salon et la cuisine. Au pied du métro Danube et du bus 75.
2 mn à pied des Buttes Chaumont et de la place des fêtes.
4 mn du tram T3 et du parc de la Butte du Chapeau rouge.
10 mn du parc de la Villette.
Proche commerces, marchés, écoles et parcs.

Libre autour du 10 octobre (le temps de faire des petits travaux à compter du 1er octobre).
1.600 €/mois + 220 € charges (comprenant le chauffage, l'eau et l'ascenseur).

Photos et visites sur demande par mail (logement occupé en septembre)."
44,meublee studio ,18m,750,Paris 18E,/  13 septembre 2019,"Près de la gare du Nord.
Au 1 er étage , clair  quartier calme.

Meublé,  une pièce, salle d'eau , wc, kicehnette, canapé lit, placards, table, peinture blanche.
Etudiant(e) de préférence.

Libre 1 er octobre   bail mobilité ou meublé, garantie visale ou caution parentale.
Loyer: 700E/mois + 50 € charges."
45,meublee studio ,18m,1.149,Paris 2E,/  13 septembre 2019,"Montorgueil. Quartier Piétonnier.
Métro: Sentier, Châtelet, Les Halles.

Studio meublé avec coin cuisine équipée, et salle de bains complète, au 4eme étage sans ascenseur, lit mezzanine 2 places, électroménagers (lave-vaisselle, machine à laver, séchoir, plaque chauffantes, frigidaire, aspirateur), canapé lit, bureau, armoire, petite table déjeuner, placards. Immeuble ancien, digicode, calme et clair donnant sur cour avec jardin. Libre le 11 septembre.


Loyer : 999 € + charges 150 €"
46,appartement ,44m,1.800,Paris 3E,/  13 septembre 2019,"Charmant appartement 44 m² dans le Marais, rue du Temple.
2 pièces + mezzanine, cuisine américaine équipée de four, réfrigérateur, micro-ondes, etc. Internet, télévision et téléphone gratuit. 3ème et dernier étage sans ascenseur.

Minimum 1 an.
Disponible : septembre 2019
Loyer charges comprises."
47,meublee appartement ,45m,2.200,Paris 8E,/  13 septembre 2019,"L'appartement est situé devant l'hôtel « Four Seasons Hôtel » sur la charmante avenue George V (8ème arrondissement), dans le quartier des Champs Elysées (150m). Il est situé à quelques pas du parc du Trocadéro, de la Concorde, de Iéna, de la Seine et de la tour Eiffel.
Il comporte une vaste pièce principale avec une grande fenêtre, une chambre complétement équipée et confortable, et une salle de bain avec douche.
Il est parfait pour un jeune couple puisqu'il a deux espaces distincts : un joli salon avec un canapé lit et un bureau, et une chambre confortable. Il y a d'autre part de nombreux espaces de rangements.
Le quartier est agréable et calme. Vous y trouverez des boulangeries, supermarchés, banques et pharmacies directement à pied. Vous trouverez également des restaurants sympathiques (pizzas, cafés typiques, sushis, etc…).
Les visites se font uniquement le samedi matin.
-lit confortable dans la chambre
-canapé-lit dans le salon
-cuisine avec un coin pour manger, plaque chauffante, micro-onde, lave-vaisselle et machine à laver.
-bureau avec table et chaises dans le salon
-TV écran plat

Les stations de métro les plus proches sont George V, Line 1, Iena Line 9 or Étoile L6/L1/RER A.

La taille de l'appartement est de 45m2, 6ème étage
les charges locatives d'environ 250€/ mois (dont gardien 24H/24)
l'internet/téléphone et électricité sont individuels : environ 50€ à 80€ par mois selon votre usage.

Agences s'abstenir


The apartment is situated in front of The Four seasons hotel (Paris 8 GEORGE V) wich is a charming avenue in the Champ Elysée area (150m from Champ Elysées). A few minutes walk to Trocadero Square, Concorde, Iena, seine river and the Eiffel Tower.

This apartment features a spacious main room with a large window, a fully equipped  a comfortable bedroom and a bathroom with shower.

The layout is perfect for a young couple since it has two distinct areas : a nice living space with a sofa bed and a desk, and a comfortable bedroom. There is also plenty of closet space.

The area is safe and quiet. There are bakeries, supermarkets, banks and pharmacies at walking distance. You will also find nice dining places (pizzas, typical cafés, sushi…etc…)

Visits are only on sturday morning. Thanks

– Comfortable Bed in the room
– Sofa Bed in the living room
–  kitchen with dining area, equipped with heating plates, micro-wave, dishwasher and a washer.
– A desk with table and chairs and in the living room.
– Flat screen TV

The closest subway stations are George V, Line 1, Iena Line 9 or Etoile L6/L1/RER A.

Apartment size: 500 square feet / 45 square meter
Maintenance (commonly referred to as charges in France): ~250 Euros per month included in the price.
Internet / Phone / Electricity are individual & not included : Approximately 50-80 euros per month depending on usage.

I am not a realstate agent + I do not need a realstate agent (agence s'abstenir)"
48,meublee appartement ,36m,1.350,Paris 5E,/  13 septembre 2019,"Mouffetard - Place Contre Escarpe.

Appartement refait à neuf. Meublé - Equipé. Deux pièces. Dernier étage. Très lumineux. Très chaleureux. Calme. Belle vue. Poutres apparentes. Séjours - Chambre parquet en bois. Kitchenette américaine. Salle de bains avec marbre et Sky light. Petite terrasse. 5ème étage.

-Métro Cardinal Lemoine
-Métro Jussieu
-Métro Maubert - Mutualité
-Métro Place Monge

Loyer charges comprises.

Les visites sont prévues la semaine du 2 septembre."
49,meublee appartement ,46m,1.950,Paris 6E,/  13 septembre 2019,"Appartement Loft de 46m2

Paris 6e. Idéalement placé, Location meublée.  Rue de l'Hirondelle. En plein cœur du quartier Latin - RER Saint-Michel.
Métro ligne 4, Saint-Michel Notre Dame. Rue entièrement piétonne. Près des écoles, Science Po, Louis le Grand, La Sorbonne, école d'architecture, Henri IV, Fenelon etc ...
Magnifique loft meublé de 46 m², avec grande hauteur sous plafond, vue imprenable sur la Sainte Chapelle.
Au 5e étage  sans ascenseur, sans vis-à-vis sur les toits de Paris, très ensoleillé, comprenant : Une entrée, un séjour, une cuisine aménagée et équipée, une salle de bains avec wc indépendant.
Loft entièrement équipé en ligne de maison et linge de toilette etc ...
Loyer charges comprises (internet haut débit compris dans les charges) . 1.950 €/mois.
Location court et long terme.
Disponible à partir du 1er Février 2020."
50,meublee appartement ,65m,2.180,Paris 7E,/  13 septembre 2019,"Rue Barbet de Jouy.

Dans quartier et immeuble de grand standing. 2 pièces meublé 65 m², nombreux rangements (+ débarras + cave). Au 3ème étage sur jardin, ascenseur.
Appartement entièrement refait et très bien équipé. Il est composé d'une entrée, d'un wc séparés, d'une cuisine équipée (lave-vaisselle, lave-linge, réfrigérateur/congélateur, four ....), d'une grande pièce , d'une chambre et d'une salle de bain. Linge de maison fourni.
Couchage : 1 lit double + 1 canapé-lit 2 places.
Immeuble sécurisé : digicode + interphones + gardien + local vélos

Loyer charges comprises ( chauffage inclus).
Disponible le 26 août
Location longue durée uniquement (minimum 1 an).
Métro : Saint François Xavier ligne 13.

English spoken."
51,meublee appartement ,98m,2.680,Paris 12E,/  13 septembre 2019,"Idéalement située, en face du bois de Vincennes. Surface 98 m², meublé, au 5e avec ascenseur, sans vis-à-vis, belle vue dégagée à Paris. Spacieux et lumineux espace de vie, double séjour avec bow window.  Calme, toutes les fenêtres sont équipées de double vitrage, 3 grandes chambres dont 1 avec salle d'eau, cuisine séparée toute équipée, salle de bains avec baignoire, wc séparés, placards et rangements. Chauffage électrique. Accès immeuble sécurisé code et interphone. Métro et Tramway au pied de l'immeuble.
2.680 €/mois charges comprises. Visite uniquement sur dossier.
(Agences s'abstenir)"
52,meublee appartement ,48m,1.700,Paris 13E,/  13 septembre 2019,"Situé dans un quartier résidentiel et calme, à proximité des business center des 12e et 13e arrondissements, de tous commerces, divertissements, cinémas, opéra, des transports en commun, de l'hôpital Universitaire de la Pitié Salpétrière, des gares d'Austerlitz et de Lyon et du Jardin des Plantes,
cet agréable appartement rénové à neuf de 48 m², dispose d'une chambre meublée, d'un très grand salon salle à manger aménagé avec goût, d'une cuisine aménagée avec des équipements électroménagers neufs tels que lave-linge / sèche-linge, lave-vaisselle, réfrigérateur, four et micro-ondes , machine nespresso... et d'une salle de bains avec baignoire.

Accessible avec ascenseur, il est situé au 4e étage avec 3 fenêtres donnant sur rue exposition Sud/Sud-Ouest. Toutes les parties communes de l'immeuble ont été réhabilitées en 2018. Le voisinage est calme et respectueux.

Located in a quiet and residential area, close to business centers in the 12th and 13th arrondissement, to any commerce, entertainements, theaters, opera, transportation, the University Hospital of La Pitié Salpétrière, the Austerlitz and Lyon train station and the Jardin des Plantes, this nice appartment, recently renovated, of 48m2, has a furnished bedroom, a very big living room and dining room, a kitchen equipped with new electrical appliances such as a washing machine and a dryer, a dishwasher, an oven and a microwave, a nespresso machine...and a bathroom with a bathtub. It is situated on the 4th floor, accessible with an elevator, and with three windows with south and southwest exposure. All the common areas of the building have been renovated in 2018. The neighborhood is quiet and respectful.

Loyer : 1700€ charges comprises"
53,meublee appartement ,60m,2.350,Paris 19E,/  13 septembre 2019,"Parc des Buttes Chaumont - Duplex meublé 60m2 en bail mobilité (1 à 10 mois).
-> 3/4 Pièces avec 3 lits doubles + 1 canapé-lit et 2 salles de bains avec wc.

- 1er étage : Une entrée, un séjour (canapé-lit) avec une cuisine équipée ouverte (vaisselle fournie, four, lave-vaisselle etc), une chambre (lit double), une salle de bains (balnéo) avec wc.
- 2e étage : Une petite chambre mansardée (lit double), une deuxième chambre (lit double), une salle de bains avec wc.
- Local rez-de-chaussée : Une buanderie privative avec lave-linge et sèche-linge.

Colocation possible.
Disponible à partir du 1er octobre 2019.

Loyer : 2300 €/mois + 50 € charges."
54,appartement ,97m,4.100,Paris 7E,/  13 septembre 2019,"Rue Vaneau. Appartement au 5e étage, 4 pièces avec en plus 1 chambre de service avec un débarras au 6e étage, sur jardins hôtel Matignon avec petits balcons et stores.
97 m², plafond 3,10 m moulures, 3 cheminées.
Belle entrée, ascenseur. Cuisine, wc, salle de bains refaite, lingerie, wc sur palier.


2 caves, vide ordures, nouveau chauffage et eau chaude gaz Individuel.
Chaudière classe A et ballon. Digicode, interphone, concierge.

Prises téléphone, TV, HiFi, router, immeuble câblé.

Loyer : 3.900 €/mois + 200 € provisions de charges."
55,meublee appartement ,88m,2.610,Paris 15E,/  13 septembre 2019,"Colocation solidaire 3 étudiants à PARIS 15ème. Proche Tour Eiffel.
Durée 9 mois maximum
Appartement, 88m², meublé, au 6e étage avec ascenseur.
Orienté plein sud, sans bruit, dans résidence avec gardien et digicode, proche de tous les commerces.
Entrée, dressing, grand séjour, cuisine, trois chambres, salle d'eau, WC séparés, WIFI, possibilité Parking.
Métro: lignes N° 10 Javel et  Charles-Michel, et N°8 - Boucicaut.
Bus:    lignes N° 62 et 42.
Loyer 2.610 € / mois (Toutes charges comprises).
Dépôt de garantie : 5.400 €.
Cautions des parents exigées.
Merci de m'appeler entre 12 h et 20 h."
56,meublee studio ,10m,675,Paris 16E,/  13 septembre 2019,"Métro Mirabeau.

Beau studio refait à neuf, calme et lumineux, sans vis-à-vis.
Immeuble très bien entretenu et sécurisé  avec gardien, digicode et interphone.

Entrée principale, au 7e étage avec ascenseur.
wc à l'intérieur, Douche,  Lavabo, grande fenêtre, chauffage centrale et Interphone.

Loyer charges comprises."
57,studio ,17m,850,Paris 16E,/  13 septembre 2019,"Beau studio 17 m² (loi Carrez), refait à neuf, proche avenue de Versailles, Porte Saint Cloud, Paris 16e. Dans bel immeuble, au 3ème étage. Calme vue sur cour, grande fenêtre, clair avec hauteur sous plafond.
Comprenant : entrée, salle de bains entièrement équipée avec toilettes, pièce principale avec un coin cuisine (hotte, plaques électriques, frigo, machine à laver).
Proche transports (bus et métro). Proche commerces.
Loyer 790€/mois + 60 € provision charges (chauffage inclus)."
58,meublee studio ,9m,690,Paris 9E,/  13 septembre 2019,"Commerces et transports, quartier vivant et agréable.
A proximité du métro Cadet et Notre-Dame de Lorette.

Au 6e et dernier étage, studette meublée entièrement refaite en 2018.
Porte extérieur blindée. Claire, très calme et tranquille.

Environ 9 m² au sol (volume total 24 m3), vraie mezzanine 7 m² avec rangements partout, coin cuisine aménagé et équipé, douche, toilettes, nombreux placards et rangements, plaques vitrocéramiques, cumulus 50 litres, micro-ondes grill, lave-linge 6 kg, réfrigérateur avec petit congélateur, télévision LCD 40', couchage 1 personne matelas, couette.
Chauffage électrique radiant.

Immeuble parisien calme, digicode.
Internet par la fibre Wifi//télévision/téléphone installé dans la studette.
APL possible pour cette location.

Contactez-moi par mail ou SMS pour plus de photos et vous donner les conditions de location et visites.

Loyer : 690 € charges comprises."
59,studio ,28m,940,Paris 10E,/  13 septembre 2019,"Métro Gare de l'Est ou Strasbourg Saint Denis : 65 rue du Faubourg Saint Denis.

Studio au 4eme étage de 28m², très bon état, clair. Parquet, double vitrage.
Le bien se compose d'une entrée, salle à manger/cuisine non équipée, une salle de douche avec wc, une grande pièce de 19m² avec 2 fenêtres.
Loyer 890€ +50€ de charges. Garant demandé.
Visites sur place les samedi 14 de 10h30 à 11h15 et le jeudi 12 de 12h30 à 13h30."
60,meublee appartement ,25m,980,Paris 17E,/  13 septembre 2019,"Rue des Batignolles, métro Rome.
Appartement 2 pièces de 25 m², meublé.  Au 3ème étage, actuellement en cours de travaux (disponible à partir du 14 septembre).
Composé : d'un salon, d'une chambre, d'une salle de bains et cuisine.
Belle hauteur sous plafond, double vitrage.

Loyer : 950 €/mois + 30 charges."
61,appartement ,56m,1.700,Paris 19E,/  13 septembre 2019,"Appartement 56 m² Allée Darius Milhaud, 4e étage avec ascenseur.
Meublé ou vide.
Grand appartement. Le logement est proche  rue Manin, rue petit, les magasins et les restaurants.
Vous apprécierez pour la vue du balcon très agréables et très calme.
toilettes séparée, grande cuisine ...

Loyer : 1650 € + charges 50 €"
62,meublee studio ,14m,720,Paris 1Er,/  13 septembre 2019,"Châtelet, près Bastille. Rue de la Ferronnerie.
Studio atypique meublé, environ 14 m² avec mezzanine.
Belle hauteur sous plafond. Fenêtre style Vélux.
Au 3e sans ascenseur. Tout confort, coin-cuisine équipé, salle d'eau avec baignoire sabot, wc, lavabo, lave-linge.

Courte durée possible.

Loyer 720 euros + charges."
63,meublee appartement ,70m,3.600,Paris 1Er,/  13 septembre 2019,"Appartement meublé exceptionnel avec beaucoup de charme ; Appartement refait à neuf .
Métro Pyramides, Ligne 1, face jardin des Tuileries et le musée du Louvre.
10 minutes à pied de la place de la Concorde, des Champs Élysées et de la place Vendôme .

3 pièces, 70 m², entièrement meublé et équipé avec internet fibre optique. Bel immeuble du 18e siècle sur jardin intérieur, pavage d'origine au 4ème étage ascenseur. Interphone. 2.85 m hauteur sous plafond, parquet moulure cheminées d'origine.

Grande entrée, séjour avec cheminée, salle à manger, grande chambre avec grand placard et cheminée, salle de bains avec douche à l'italienne, cuisine équipée avec four, machine à laver lavante-séchante, lave-vaisselle, plaque à induction, four micro-ondes, hotte aspirante.

Très calme, double vitrage. Très clair.
Libre de suite.

Loyer : 3600 € charges comprises"
64,meublee appartement ,62m,1.990,Paris 2E,/  13 septembre 2019,"17, Bd Montmartre 75002 Paris. Entre Richelieu-Drouot, Palais Royal et Opéra. Quartier historique. F3 meublé, 62 m², rénové en 2013. Au 2e étage sur 6 avec ascenseur, sur jolie cour calme, dans un immeuble entièrement rénové en 2017, entièrement équipé et meublé.

1 entrée avec cuisine américaine ouvrant sur le salon, 2 chambres d'accès indépendant dont 1 avec cheminée, 1 grande salle de bains, wc séparés, dressing. Parquet chêne. Cuisine design. Chauffage électrique à inertie. Double vitrage. Deux digicodes. Gardien. Porte blindée.

Libre début novembre 2019. Bail 1 an et plus. Propriétaire résident à proximité, ce qui facilite les entrevues en cas de besoin.

Idéal couple avec 1 ou 2 enfants. Nombreuses écoles et commerces à proximité.
Anglais parlé. Expatriés ou résidents étrangers bienvenus. English spoken. Foreigners are welcome.

Agences s'abstenir strictement ! 

Loyer : 1990 €/mois charges comprises."
65,meublee appartement ,50m,1.750,Paris 8E,/  13 septembre 2019,"Exceptionnel ! Triangle d'or - 
A 50 m des Champs Élysées, rue de Washington.

Grand 2 pièces traversant, de 50 m² environ.

Beaucoup de charme.
Calme et lumineux, mansardé, poutres apparentes et belle hauteur sous plafond.

Refait à neuf, meublé confortablement, cuisine entièrement équipée, vaste salon avec téléviseur, salle à manger, une chambre, une salle de bains, une mezzanine (avec couchage supplémentaire). Literies neuves.
2 dressings avec grands miroirs.
5ème étage sans ascenseur.
Colocation acceptée.
Beaucoup de cachet.
Agences s'abstenir.

Sérieuses références demandées.

Libre le 15 septembre.

Loyer : 1700 €/mois + charges 50 €."
66,appartement ,70m,1.900,Paris 15E,/  13 septembre 2019,"BIR-HAKEIM.

Immeuble récent, 70 m² carrez, au 8ème étage, calme, ensoleillé, sans vis-à-vis, grand living, deux chambre, penderies.
Cuisine aménagée avec fenêtre, salle de bains.

Libre le 1er Novembre.

Pas de SMS.

Loyer : 1750 €/mois + 150 € de provisions sur charges."
67,meublee studio ,20m,1.120,Paris 15E,/  13 septembre 2019,"Proche métro Cambronne, La Motte Picquet.

Studio meublé 20 m² entièrement rénové comprenant : un coin kitchenette avec micro-ondes, frigo, 2 plaques, cafetière; un coin repas avec table et chaises ,
 une salle d'eau avec wc,
 un espace salon couchage avec canapé ( literie, couette, oreillers neufs )télévision écran plat. Double vitrage.  Chauffage individuel électrique
Armoire dressing et nombreux rangements.

Libre de suite.
Loyer : 1.070 €/mois + 50 € charges.
Visites prévues ce week-end."
68,meublee studio ,14m,530,Paris 16E,/  13 septembre 2019,"Paris 16ème. Studette meublée 14 m².
Proche lycée Janson de Sailly, Fac Dauphine et tous commerces.
Dans quartier résidentiel et immeuble sécurisé, studette meublée 14 m² au 6ème étage sans ascenseur. Claire et calme. Fenêtre double vitrage, parquet. Grand lit mezzanine (espace loggia) coulissant au plafond permettant de dégager l'espace pendant la journée. Coin bureau, bibliothèque, nombreux rangements (commode, placards et tiroirs). Cuisine équipée (réfrigérateur, plaque électrique, micro-ondes, évier/lavabo). Pour jeune-fille : douche séparée  sur palier à partager avec 2 autres jeunes-filles (même propriétaire) ainsi que wc indépendants
Loyer 530 € charges comprises. Répondre de préférence par le service mail du PAP."
69,meublee studio ,-1,760,Paris 16E,/  13 septembre 2019,"A louer Avenue de Versailles 75016 Paris (A proximité du Boulevard Exelmans )
Un studio meublé et entièrement rénové.

Composé d'une grande pièce avec mezzanine, coin bureau avec table et chaises coin cuisine avec plaques électriques et réfrigérateur.
Salle d'eau avec wc.
Fenêtres rénovées avec isolation phonique et thermique.
Location courte durée acceptée Au 1er étage, dans un immeuble avec gardien.
Chauffage et eau chaude par l'immeuble.

Loyer : 760 €/mois + 50 € provisions pour charges.

Chauffage et eau chaude immeuble.

Libre de suite."
70,meublee appartement ,81m,2.850,Paris 4E,/  13 septembre 2019,"Appartement 3/4 pièces 31 rue des blancs Manteaux Paris 4e

Hôtel de Ville, en plein cœur du Marais, a 3 minutes du centre Georges Pompidou

Appartement 3/4 pièces meublé, tout confort d'une surface 81 m²

Refait entièrement à neuf par architecte.

Au 4e étage avec ascenseur d'un bel immeuble en pierre de taille.

Double orientation  clair et calme.

Beau double séjour lumineux  30 m²,

 2 chambres 16 et 10 m² équipée de leur dressings

Salle de bains

Wc indépendants
Cuisine entièrement équipée (four, lave-vaisselle, plaque de cuisson, micro-ondes, frigidaire). Climatiseur - lave-linge séchant.

Prestations de standing au cœur du Marais, plafond moulurée, parquet point de Hongrie, corniches, alliance du patrimoine du marais et de l'équipement contemporain.


Longue durée privilégiée, pas de location de courte durée. Ancien locataire resté 3 ans

Loyer : 2.720 €/mois + 130 € de charges.

Dépôt garantie 2 mois

Caution solidaire demandée
Loyer : 2850 € charges comprises"
71,meublee studio ,11m,600,Paris 16E,/  13 septembre 2019,"Studette meublée indépendante 11 m², Calme, literie 1 personne.

Proximité immédiate métro Exelmans lignes 9 et 10 Michel Ange Molitor. Bus, 62, 22 et PC.
1er étage. Immeuble standing, cadre agréable, 2 gardiens, digicode, interphone, ascenseur.
Coin kitchenette, réfrigérateur, micro-ondes, plaques vitrocéramiques, nombreux rangements, Porte blindée -  douches/wc privatifs sur palier.

Loyer charges incluses (électricité, eau, chauffage central).
Visite sur rendez-vous avec dossier complet. Caution parentale.
Merci d'envoyer courriel avec profil détaillé et la durée souhaitée de location."
72,appartement ,69m,2.370,Paris 19E,/  13 septembre 2019,"Appartement 2/3 pièces en parfait état, au 6e et dernier étage avec ascenseur, dans bel immeuble bien entretenu avec gardien.
Très ensoleillé : exposition est/ouest avec vue totalement dégagée. Vue sur Sacré Coeur
Salle de bains avec baignoire, wc séparés, cuisine dinatoire.
Chauffage central et eau chaude courante sont compris dans les provisions sur charges.

Proche crèches, écoles, lycées (écoles publiques et privées : Lucien de Hirsch, Saint Georges...)
Proche commerces et piscine
Proche Parc des Buttes Chaumont.

Loyer : 2150 €/mois + Provision sur charges : 220 €/mois."
73,meublee appartement ,48m,2.350,Paris 8E,/  13 septembre 2019,"Appartement très calme et lumineux à deux pas de la Place de l'Étoile et métro Charles de Gaulle Étoile, au 6ème étage (ascenseur jusqu'au 5ème) dans un immeuble en pierres de taille.
Cuisine entièrement équipée (plaques, four, lave-vaisselle et linge) et une salle de bains. Beaucoup de cachet. Idéal jeune couple.

Loyer : 2200 € + charges 150 €"
74,meublee studio ,9m,615,Paris 17E,/  13 septembre 2019,"Quartier résidentiel, dans bel immeuble, studette meublée environ 9 m², refait à neuf, rez-de-chaussée sur cour.

Cuisinette équipée, clic-clac, table rangements, douche, vrai wc.
Grande fenêtre avec double vitrage, parquet sol.
Accès par badge sécurisée.
Clair et calme.

Libre de suite.
2 mois de caution.
EDF en plus.
Visite sur rendez-vous avec dossier complet."
75,appartement ,52m,1.258,Paris 19E,/  13 septembre 2019,"Buttes Chaumont. Métro Botzaris.

Immeuble 1992 standing, bien entretenu, face au parc. Gardiens digicode visiophone ascenseurs.
Grand 2 pièces 52 m², 8ème étage, calme sur jardin intérieur, entrée, séjour, chambre, cuisine équipée, wc séparés, grande salle de bains, placards penderies, cave.

Libre. Justificatifs garanties demandés.
Loyer : 1.077 €/mois + 181 € charges."
76,studio ,34m,1.200,Paris 8E,/  13 septembre 2019,"Quartier St Augustin.
Dans bel immeuble sur rue sans circulation, très beau studio entièrement  rénové 34 m² bien ensoleillé, cuisine équipée, chauffage et chauffe-eau électriques (comptage heures pleines & heures creuses) libre de suite.

Visite sur place sur rendez-vous par sms samedi 14 septembre de 10 h à 12h. Agences s'abstenir.

Loyer : 1150 € + charges 50 €"
77,meublee studio ,17m,850,Paris 8E,/  13 septembre 2019,"Etoile/Ternes. Au 6e, ascenseur, studio meublé, parfait état, 17 m², 2 fenêtres sud, cuisine américaine équipée, ustensiles, vaisselle, tabourets bar, salle d'eau/wc avec lave linge, canapé-lit 200 x 140 cm, table pliante, grand placard/penderie.
Eau chaude fournie. Climatisation, insonorisation, porte blindée, serrure de sureté, téléphone, antenne TV TNT.
Gardien, digicode, interphone. Libre de suite
Loyer 850 €/mois charges comprises."
78,meublee studio ,14m,650,Paris 20,/  13 septembre 2019,"Métro Saint Fargeau (ligne  Métro 3 bis)
Studio meublé 14 m² sur cour au 3ème étage sans ascenseur. Clair et calme, en bon état .
Tout confort avec salle d'eau ,wc/coin cuisine équipé, fenêtre double vitrage, parquet au sol.
Immeuble bien entretenu .
Loyer 590€/mois + 60 € de charges
Visite le 14 septembre entre 18h et 19h au 90 rue Haxo 75020 Paris"
79,meublee studio ,16m,900,Paris 5E,/  13 septembre 2019,"Près Panthéon. Rue Mouffetard. Sur jardin intérieur.

Studio 16 m²  à louer meublé, 1er étage ascenseur, tout confort.

Kitchenette, salle d'eau double wc chambre.

Clair et calme.
Tous commerces à proximité

Loyer : charges et chauffage compris.

Libre de suite."
80,meublee chambre ,17m,850,Paris 9E,/  13 septembre 2019,"Métro Barbès Rochechouart. Chambre meublée de 17 m² environ  pour une personne dans un appartement Haussmannien très calme, avec fenêtre sur cour. Salle de douche et wc (partagés) avec fenêtre sur cour également et coin repas. La chambre est meublée (lit simple, placard et étagères, bureau, chaise et fauteuil). Située dans un appartement au 3ème étage sans ascenseur, avec accès indépendant par la porte de service.
Loyer 850 €/mois charges comprises, comprend électricité, chauffage, eau chaude et froide, internet par fibre optique, ménage et blanchisserie linge maison.
Possibilité de louer deux chambres. La seconde chambre aux mêmes conditions.
Pour plus de renseignement, merci de contacter par mail."
81,meublee appartement ,54m,1.980,Paris 16E,/  13 septembre 2019,"Appartement 54 m², Raffet, 6e étage, métro Jasmin.
Meublé, appartement 54 m², proche avenue Mozart et bois de Boulogne. Immeuble de standing. Très beau 3 pièces de 54 m², au 6e étage ascenseur, très clair et ensoleillé, grand séjour double, entrée, 1 chambre, calme, cuisine équipée, salle de bains. Parquet. Chauffage et eau chaude collectifs.
Loyer : 1.980 €/mois charges comprises."
82,meublee studio ,22m,1.080,Paris 16E,/  13 septembre 2019,"Triangle d'Or. Place Iéna - Champs Elysées.
Studio meublé de 22 m² de grande qualité et en parfait état au 4éme étage d'un bel immeuble avec ascenseur, sécurisé, avec gardien.

Un salon/coin nuit, cuisine américaine aménagée, salle de bains. Télévision et câble d'arrivée de la fibre optique permettant de souscrire un abonnement Internet à très haut débit.

Libre à partir du 01/10/2019.
Loyer : 990 €/mois + 90 € de charges forfaitaires.

Chauffage central par radiateurs : le chauffage et l'eau chaude sont compris dans les charges."
83,meublee studio ,25m,1.068,Paris 5E,/  13 septembre 2019,"Près Panthéon contre Lycée Henri IV rue Descartes.

Beau studio de caractère 24.40 m². Deux grandes fenêtres double vitrage récentes, belle hauteur sous plafond avec poutres,
tout confort, parquet neuf dans séjour, récemment meublé (canapé et mobilier récents) + vaisselle fournie. Salle de bains (en travertin poli) équipée avec baignoire, vasque encastrée, wc. Kitchenette carrelée équipée.

Studio très fonctionnel.

Penderie + placard + étagères.

3ème étage sans ascenseur, digicode, porte blindée.

Nombreuses grandes écoles à proximité : Henri IV, Normale Sup, Sorbonne, Saint Louis, etc.

Entrée de l'immeuble avec pierres anciennes.

Loyer : 1068 €/mois provision charges comprise hors électricité.
Idéal étudiant(e).
Pas de colocation.

Sérieuses garanties et caution solidaire parentales demandées.

Métros : Luxembourg, Cardinal Lemoine, ou Monge.

SMS accepté avec présentation, études prévues et caution parentale."
